sku_id,商品标题,品牌,品类,条码,售价,规格,城市,门店,采集时间
FRESHHEMA0001,农夫山泉 天然饮用水 550毫升*24瓶装,农夫山泉,,,37.75,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0002,特仑苏 全脂纯牛奶 250ml*16盒装,蒙牛,,6923644272753,81.50,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0003,金龙鱼 调和油 5L 家庭装,金龙鱼,,6931845200109,80.39,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0004,可口可乐 经典原味 330ml*24罐装,可口可乐,,,48.40,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0005,维达 蓝色经典 软抽 150抽*24,维达,,,65.29,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0006,怡宝 纯净水 555毫升×24,怡宝,,,37.90,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0007,伊利 金典 有机纯牛奶 200ml*16盒,伊利,,,101.59,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0008,三只松鼠 坚果大礼包 25g*30袋装,三只松鼠,,,99.99,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0009,海天酱油金标生抽王 1.9L,海天,,,33.49,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0010,康师傅红烧牛肉面袋装 103g*5包,康师傅,,,13.56,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0011,康师傅 老坛酸菜面 105g*5包,康师傅,,,14.60,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0012,蒙牛 低脂纯牛奶 250ml*16,蒙牛,,,51.90,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0013,雀巢醇品纯咖啡粉 200g,雀巢,,,37.76,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0014,五常 稻花香大米 2.5kg,五常,,,37.05,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0015,蓝月亮 亮白增艳洗衣液 3kg,蓝月亮,,,50.40,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0016,乐事薯片 经典原味 大包,乐事,,,12.25,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0017,双汇 王中王 火腿肠 30g*10支,双汇,,,14.46,,上海,盒马上海店,2026-09-16 06:30:00
FRESHHEMA0018,舒肤佳 纯白清香沐浴露 1L,舒肤佳,,,38.70,,上海,盒马上海店,2026-09-16 06:30:00
