sku_id,商品标题,品牌,品类,条码,售价,规格,城市,门店,采集时间
RTMART0001,【自营】农夫山泉 饮用天然水 550ml*24,农夫山泉,,6921168509256,45.05,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0002,蒙牛特仑苏纯牛奶 250ml×16,蒙牛,,,76.70,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0003,金龙鱼食用调和油 5升 桶装,金龙鱼,,,65.71,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0004,可口可乐汽水 330ml*24 整箱,可口可乐,,,58.88,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0005,维达 抽纸 150抽×24包 整箱,维达,,,55.11,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0006,怡宝饮用纯净水 1.555L*12瓶,怡宝,,,42.29,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0007,伊利金典有机纯牛奶 250ml×12,伊利,,,93.50,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0008,每日坚果 三只松鼠出品 750g/盒,三只松鼠,,,92.07,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0009,海天 生抽 特级金标 1900ml,海天,,,26.61,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0010,康师傅 经典红烧牛肉面 103g×5袋,康师傅,,,16.09,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0011,康师傅香辣牛肉面 103g×5袋,康师傅,,,15.20,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0012,蒙牛纯牛奶 250ml×16盒装,蒙牛,,,48.40,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0013,雀巢 速溶咖啡醇品 500g,雀巢,,,83.61,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0014,五常大米 稻花香 10斤装,五常,,,68.50,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0015,蓝月亮 深层洁净护理洗衣液 3公斤,蓝月亮,,,46.91,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0016,乐事 无限薯片 原味 大桶,乐事,,,15.74,,上海,大润发上海店,2026-09-16 06:30:00
RTMART0018,舒肤佳沐浴露纯白清香 1000ml,舒肤佳,,,41.10,,上海,大润发上海店,2026-09-16 06:30:00
