sku_id,商品标题,品牌,品类,条码,售价,规格,城市,门店,采集时间
SAMS0001,农夫山泉天然水 550ml×24瓶 整箱,农夫山泉,,,39.90,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0002,特仑苏 纯牛奶 250ml*16盒 礼盒,蒙牛,,6923644272753,89.49,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0003,金龙鱼 黄金比例调和油 5L,金龙鱼,,6931845200109,75.49,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0004,可口可乐 碳酸饮料 330ml×24罐,可口可乐,,,44.91,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0005,维达蓝色经典抽取式面巾纸 150抽*24包,维达,,,61.70,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0006,怡宝 纯净水 350ml*24瓶,怡宝,,,28.73,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0007,金典 有机奶 250ml*10盒,伊利,,,77.31,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0008,三只松鼠每日坚果混合果仁礼盒 25g×30包,三只松鼠,,,108.90,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0009,海天金标生抽酱油 1.9升,海天,,,31.69,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0010,康师傅红烧牛肉面 五连包 103g*5,康师傅,,,14.15,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0011,康师傅 红烧牛肉面 103g*5包,康师傅,,,14.90,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0012,蒙牛 特仑苏 纯牛奶 250ml*16盒,蒙牛,,,77.34,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0013,雀巢醇品黑咖啡 500克 罐装,雀巢,,,94.40,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0014,五常稻花香2号大米 5kg,五常,,,71.30,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0015,蓝月亮洗衣液深层洁净型 3kg,蓝月亮,,,54.39,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0016,乐事薯片原味 家庭装,乐事,,,13.67,,上海,山姆上海店,2026-09-16 06:30:00
SAMS0017,双汇王中王优级火腿肠 30g×10,双汇,,,13.34,,上海,山姆上海店,2026-09-16 06:30:00
