sku_id,商品标题,品牌,品类,条码,售价,规格,城市,门店,采集时间
MD0001,农夫山泉 饮用天然水 550ml*24瓶,农夫山泉,饮用水,6921168509256,42.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0002,蒙牛 特仑苏 纯牛奶 250ml*16盒,蒙牛,牛奶,6923644272753,79.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0003,金龙鱼 食用调和油 5L,金龙鱼,食用油,6931845200109,69.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0004,可口可乐 汽水 330ml*24罐,可口可乐,碳酸饮料,,49.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0005,维达 蓝色经典 抽纸 150抽*24包,维达,纸品,,59.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0006,怡宝 饮用纯净水 555ml*24瓶,怡宝,饮用水,,39.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0007,伊利 金典 有机纯牛奶 250ml*12盒,伊利,牛奶,,89.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0008,三只松鼠 每日坚果 25g*30袋,三只松鼠,零食,,99.00,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0009,海天 金标生抽 1.9L,海天,调味品,,29.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0010,康师傅 红烧牛肉面 103g*5包,康师傅,面条,,14.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0011,康师傅 香辣牛肉面 103g*5包,康师傅,面条,,14.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0012,蒙牛 纯牛奶 250ml*16盒,蒙牛,牛奶,,49.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0013,雀巢 醇品速溶咖啡 500g,雀巢,咖啡茶,,89.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0014,五常 稻花香大米 5kg,五常,大米,,69.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0015,蓝月亮 深层洁净洗衣液 3kg,蓝月亮,洗涤,,49.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0016,乐事 薯片 原味 大包装,乐事,零食,,12.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0017,双汇 王中王火腿肠 30g*10支,双汇,肉类,,13.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
MD0018,舒肤佳 纯白清香型沐浴露 1000ml,舒肤佳,个护,,39.90,,上海,麦德龙普陀店,2026-09-16 08:00:00
