sku_id,商品标题,品牌,品类,条码,售价,规格,城市,门店,采集时间
WMT0001,农夫山泉天然水 550ml*24瓶 沃尔玛精选,农夫山泉,,,35.18,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
WMT0002,特仑苏 纯牛奶 250ml*16盒 组合装,蒙牛,,6923644272753,90.58,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
WMT0004,可口可乐 碳酸饮料 330ml*24罐 沃尔玛精选,可口可乐,,,44.34,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
WMT0005,维达蓝色经典抽取式面巾纸 150抽*24包 沃尔玛精选,维达,,,64.68,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
WMT0006,怡宝 纯净水 350ml*24瓶,怡宝,,,33.12,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
WMT0008,三只松鼠每日坚果混合果仁组合装 25g*30包 沃尔玛精选,三只松鼠,,,97.50,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
WMT0009,海天金标生抽酱油 1.9升,海天,,,32.78,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
WMT0010,康师傅红烧牛肉面 五连包 103g*5,康师傅,,,12.44,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
WMT0012,蒙牛 特仑苏 纯牛奶 250ml*16盒,蒙牛,,,73.80,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
WMT0013,雀巢醇品黑咖啡 500克 罐装,雀巢,,,103.68,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
WMT0014,五常稻花香2号大米 5kg 沃尔玛精选,五常,,,72.55,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
WMT0015,蓝月亮洗衣液深层洁净型 3kg,蓝月亮,,,62.77,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
WMT0017,双汇王中王优级火腿肠 30g*10,双汇,,,13.43,,上海,沃尔玛上海南方商城店,2026-09-16 06:30:00
